Date,Sales
2025-01-01,156.46
2025-01-02,133.86
2025-01-03,154.03
2025-01-04,149.09
2025-01-05,128.77
2025-01-06,188.37
2025-01-07,177.49
2025-01-08,177.32
2025-01-09,174.0
2025-01-10,152.77
2025-01-11,167.99
2025-01-12,189.36
2025-01-13,162.19
2025-01-14,140.93
2025-01-15,176.16
2025-01-16,177.8
2025-01-17,182.02
2025-01-18,190.68
2025-01-19,188.78
2025-01-20,182.27
2025-01-21,195.21
2025-01-22,153.11
2025-01-23,181.82
2025-01-24,181.77
2025-01-25,151.67
2025-01-26,145.41
2025-01-27,154.28
2025-01-28,152.9
2025-01-29,171.35
2025-01-30,147.96
2025-01-31,141.39
2025-02-01,142.07
2025-02-02,165.03
2025-02-03,145.46
2025-02-04,139.65
2025-02-05,137.83
2025-02-06,156.11
2025-02-07,122.87
2025-02-08,151.38
2025-02-09,132.52
2025-02-10,124.89
2025-02-11,162.97
2025-02-12,108.02
2025-02-13,117.21
2025-02-14,102.97
2025-02-15,134.96
2025-02-16,145.53
2025-02-17,145.05
2025-02-18,138.47
2025-02-19,117.56
2025-02-20,115.75
2025-02-21,97.16
2025-02-22,154.03
2025-02-23,132.07
2025-02-24,119.44
2025-02-25,148.75
2025-02-26,116.47
2025-02-27,139.58
2025-02-28,133.47
2025-03-01,148.36
2025-03-02,140.66
2025-03-03,122.77
2025-03-04,148.64
2025-03-05,166.24
2025-03-06,153.06
2025-03-07,168.08
2025-03-08,143.66
2025-03-09,161.75
2025-03-10,155.46
2025-03-11,178.56
2025-03-12,170.18
2025-03-13,182.22
2025-03-14,190.13
2025-03-15,185.89
2025-03-16,181.06
2025-03-17,163.17
2025-03-18,179.0
2025-03-19,171.65
2025-03-20,174.8
2025-03-21,174.35
2025-03-22,164.98
2025-03-23,149.74
2025-03-24,168.2
2025-03-25,179.97
2025-03-26,155.42
2025-03-27,174.19
2025-03-28,200.54
2025-03-29,185.23
2025-03-30,192.2
2025-03-31,170.9
2025-04-01,179.88
2025-04-02,148.71
2025-04-03,147.02
2025-04-04,112.65
2025-04-05,168.54
2025-04-06,170.85
2025-04-07,136.47
2025-04-08,138.04
2025-04-09,127.7
2025-04-10,142.01
2025-04-11,150.55
2025-04-12,105.11
2025-04-13,135.15
2025-04-14,122.82
2025-04-15,126.87
2025-04-16,130.49
2025-04-17,119.49
2025-04-18,119.75
2025-04-19,117.36
2025-04-20,134.69
2025-04-21,126.28
2025-04-22,123.47
2025-04-23,101.56
2025-04-24,115.7
2025-04-25,135.9
2025-04-26,124.3
2025-04-27,135.21
2025-04-28,153.64
2025-04-29,144.77
2025-04-30,132.85
2025-05-01,126.24
2025-05-02,98.21
2025-05-03,136.73
2025-05-04,137.21
2025-05-05,150.89
2025-05-06,145.7
2025-05-07,146.2
2025-05-08,127.31
2025-05-09,142.85
2025-05-10,166.97
2025-05-11,188.34
2025-05-12,163.8
2025-05-13,172.68
2025-05-14,184.37
2025-05-15,160.05
2025-05-16,179.62
2025-05-17,164.67
2025-05-18,190.15
2025-05-19,180.58
2025-05-20,183.64
2025-05-21,167.98
2025-05-22,190.58
2025-05-23,211.21
2025-05-24,164.48
2025-05-25,173.87
2025-05-26,181.52
2025-05-27,188.64
2025-05-28,166.98
2025-05-29,131.15
2025-05-30,192.07
