Delivey Lead Time,City Tier,Carrier,Category,Quantity,Order Date,Price
39,Tier-3,DTDC,Sevai,190,45072,88.64
29,Tier-3,akr express,Noodles,465,45119,72.28
15,Tier-3,akr express,Cookies,369,45311,22.21
43,Tier-1,SELF,Cookies,77,45320,147.18
8,Tier-1,SELF,Hakka,360,45092,36.13
21,Tier-3,kerry,Bites,421,45085,14.75
39,Tier-3,dtdc,Hakka,468,45335,91.25
19,Tier-3,self,Bites,330,45424,112.14
23,Tier-1,self,Bites,58,45498,9.7
11,Tier-3,vrl,Noodles,184,45363,100.51
11,Tier-3,DTDC,Others,61,45434,82.18
24,Tier-2,dtdc,Noodles,111,45117,19.97
36,Tier-2,courier,Sevai,225,45232,30.02
40,Tier-1,akr express,Bites,447,45198,87.36
24,Tier-3,VRL,Cookies,197,45205,47.97
3,Tier-3,safe express,Others,66,45412,141.06
22,Tier-2,kerry,Pasta,56,45338,123.72
2,Tier-1,DTDC,Sevai,168,45146,147.62
24,Tier-2,DTDC,Noodles,498,45449,42.65
44,Tier-2,DTDC,Hakka,183,45424,145.61
30,Tier-2,akr express,Sevai,251,45428,67.53
38,Tier-2,akr express,Sevai,291,45270,55.39
2,Tier-3,safe express,Others,250,45386,12.3
21,Tier-3,courier,Sevai,379,45138,12.65
33,Tier-2,dtdc,Sevai,14,45180,105.34
12,Tier-1,DTDC,Pasta,93,45429,71.4
22,Tier-1,self,Hakka,317,45029,37.85
44,Tier-1,SELF,Hakka,370,45056,94.03
25,Tier-1,self,Hakka,468,45231,41.66
27,Tier-2,vrl,Bites,257,45145,88.76
42,Tier-3,self,Cookies,63,45434,57.09
28,Tier-1,vrl,Hakka,170,45383,124.42
16,Tier-2,VRL,Sevai,443,45047,124.0
15,Tier-1,SELF,Sevai,431,45193,74.22
44,Tier-1,self,Hakka,420,45223,55.87
3,Tier-2,VRL,Others,235,45135,57.57
37,Tier-3,kerry,Hakka,24,45021,121.83
7,Tier-3,dtdc,Sevai,233,45005,52.59
21,Tier-2,VRL,Bites,70,45203,35.31
9,Tier-3,dtdc,Noodles,131,45238,17.28
39,Tier-2,self,Noodles,286,45184,72.67
18,Tier-2,courier,Hakka,55,45359,74.91
4,Tier-2,VRL,Pasta,462,45291,126.93
25,Tier-3,SELF,Hakka,399,45334,37.08
14,Tier-2,self,Others,303,45219,60.24
9,Tier-1,DTDC,Hakka,71,45115,122.22
26,Tier-3,akr express,Noodles,95,45312,124.43
2,Tier-3,VRL,Sevai,455,45048,60.77
20,Tier-3,SELF,Hakka,219,45172,71.57
28,Tier-3,kerry,Sevai,87,45081,48.98
7,Tier-1,DTDC,Sevai,211,45321,140.22
44,Tier-3,kerry,Pasta,311,45332,22.2
8,Tier-3,self,Sevai,406,45044,140.39
35,Tier-2,akr express,Noodles,232,45334,104.16
14,Tier-3,VRL,Bites,231,45019,82.08
17,Tier-1,VRL,Bites,12,45447,9.74
36,Tier-1,courier,Cookies,487,45220,73.96
40,Tier-1,courier,Others,15,45122,64.12
4,Tier-1,self,Hakka,102,45233,28.38
2,Tier-3,self,Others,17,45220,100.18
6,Tier-3,akr express,Noodles,437,45322,145.82
42,Tier-1,courier,Sevai,244,45338,86.52
4,Tier-1,SELF,Bites,117,45002,108.64
29,Tier-3,SELF,Others,170,45181,14.93
18,Tier-1,akr express,Noodles,218,45205,65.56
26,Tier-2,SELF,Bites,249,45319,21.87
44,Tier-1,vrl,Sevai,340,45039,93.86
34,Tier-1,dtdc,Others,342,45058,141.08
10,Tier-2,akr express,Bites,59,45438,100.96
36,Tier-2,akr express,Hakka,20,45061,16.14
14,Tier-3,safe express,Hakka,360,45131,56.43
31,Tier-3,DTDC,Cookies,165,45059,84.85
15,Tier-2,DTDC,Cookies,79,45371,63.47
8,Tier-2,vrl,Bites,178,45330,125.88
14,Tier-3,courier,Noodles,281,45121,123.13
23,Tier-1,self,Hakka,77,45478,93.72
40,Tier-2,self,Noodles,364,45106,59.15
21,Tier-3,kerry,Noodles,261,45095,42.02
16,Tier-1,vrl,Bites,57,45346,20.35
18,Tier-2,akr express,Noodles,193,45413,56.46
24,Tier-1,vrl,Hakka,329,45234,64.91
26,Tier-3,vrl,Sevai,196,45385,102.99
25,Tier-2,vrl,Cookies,99,45061,100.43
41,Tier-1,DTDC,Sevai,455,45255,15.17
29,Tier-2,vrl,Noodles,341,45048,62.31
15,Tier-1,dtdc,Sevai,148,45392,31.36
1,Tier-3,self,Hakka,366,45347,27.74
25,Tier-3,kerry,Hakka,98,45158,124.96
7,Tier-2,dtdc,Noodles,283,45123,11.08
9,Tier-1,kerry,Bites,28,45481,65.78
24,Tier-2,safe express,Sevai,480,45316,29.39
1,Tier-2,kerry,Bites,320,45206,132.5
44,Tier-1,self,Bites,367,45047,85.77
8,Tier-1,self,Pasta,383,45408,38.55
24,Tier-1,vrl,Noodles,475,45419,77.85
11,Tier-3,VRL,Cookies,163,45135,111.07
17,Tier-2,safe express,Hakka,399,45200,143.93
8,Tier-2,akr express,Hakka,269,45249,36.96
35,Tier-3,SELF,Noodles,117,45313,133.5
35,Tier-1,kerry,Others,380,45356,140.47
33,Tier-3,VRL,Others,294,45367,137.88
5,Tier-3,vrl,Others,68,45428,97.14
42,Tier-3,DTDC,Cookies,134,45317,96.32
39,Tier-2,akr express,Hakka,363,45294,63.47
41,Tier-3,courier,Noodles,282,45479,114.1
28,Tier-2,VRL,Hakka,116,45313,82.04
7,Tier-2,DTDC,Bites,308,45499,103.23
9,Tier-2,safe express,Sevai,254,45208,67.13
8,Tier-1,vrl,Sevai,345,45354,111.07
12,Tier-2,akr express,Hakka,459,45484,124.55
34,Tier-2,akr express,Pasta,427,45210,26.23
33,Tier-1,akr express,Cookies,256,45191,125.77
23,Tier-2,safe express,Others,17,45043,83.34
24,Tier-3,kerry,Cookies,150,45028,127.48
37,Tier-3,courier,Cookies,371,45058,67.54
35,Tier-2,safe express,Bites,17,45070,59.96
44,Tier-1,SELF,Cookies,487,45091,137.68
40,Tier-3,courier,Sevai,361,45264,41.42
22,Tier-1,self,Bites,493,45382,127.41
27,Tier-1,vrl,Noodles,103,45219,75.18
35,Tier-3,safe express,Cookies,330,45389,79.54
1,Tier-1,DTDC,Cookies,436,45412,49.73
35,Tier-3,courier,Noodles,48,45441,88.09
37,Tier-1,SELF,Cookies,90,45400,52.16
14,Tier-3,self,Noodles,196,45399,10.69
3,Tier-2,kerry,Bites,93,45214,44.44
1,Tier-3,DTDC,Sevai,97,45478,5.92
5,Tier-3,courier,Noodles,251,45386,146.86
26,Tier-3,vrl,Pasta,351,45276,145.03
14,Tier-3,DTDC,Noodles,102,45063,62.3
39,Tier-1,self,Cookies,95,45345,110.61
27,Tier-2,DTDC,Others,53,45291,55.14
9,Tier-3,dtdc,Others,146,45489,102.31
15,Tier-1,VRL,Bites,430,45484,121.79
15,Tier-2,kerry,Hakka,83,45244,142.28
26,Tier-2,self,Bites,45,45469,63.03
42,Tier-2,DTDC,Hakka,110,45061,118.58
13,Tier-2,VRL,Others,485,45425,43.56
32,Tier-3,VRL,Others,165,45331,148.6
39,Tier-3,DTDC,Noodles,435,45169,8.74
32,Tier-1,vrl,Sevai,264,45444,92.51
4,Tier-1,dtdc,Pasta,180,45268,100.63
30,Tier-1,safe express,Bites,478,45266,104.77
37,Tier-2,dtdc,Cookies,225,45053,22.46
23,Tier-2,DTDC,Hakka,179,45015,141.09
39,Tier-3,kerry,Cookies,261,45007,31.27
15,Tier-2,safe express,Sevai,369,45103,95.3
43,Tier-2,self,Hakka,331,45058,37.29
29,Tier-2,dtdc,Bites,64,45312,49.55
36,Tier-1,DTDC,Noodles,465,45039,84.24
13,Tier-1,dtdc,Cookies,441,45236,65.49
32,Tier-3,safe express,Sevai,100,45442,28.23
7,Tier-2,SELF,Bites,287,45385,29.79
22,Tier-2,courier,Others,110,45093,65.63
28,Tier-3,dtdc,Others,164,45221,114.81
2,Tier-2,self,Bites,386,45203,135.2
42,Tier-2,self,Bites,358,45137,17.2
6,Tier-1,akr express,Bites,460,45299,62.0
28,Tier-3,dtdc,Hakka,373,45394,19.54
28,Tier-3,courier,Bites,150,45206,7.41
44,Tier-3,vrl,Cookies,182,45335,100.95
44,Tier-3,VRL,Sevai,19,45080,92.36
20,Tier-1,courier,Hakka,237,45217,28.64
30,Tier-1,VRL,Bites,274,45001,38.9
11,Tier-2,VRL,Pasta,447,45177,8.44
28,Tier-2,SELF,Pasta,257,45395,126.07
25,Tier-2,akr express,Sevai,256,45370,146.33
39,Tier-2,courier,Others,164,45345,24.64
33,Tier-1,courier,Noodles,43,45278,38.56
1,Tier-3,SELF,Noodles,138,45145,130.92
27,Tier-1,dtdc,Others,169,45317,139.34
13,Tier-2,dtdc,Hakka,98,45223,65.85
41,Tier-1,dtdc,Hakka,102,45368,12.34
3,Tier-3,kerry,Hakka,336,45383,10.71
39,Tier-3,VRL,Noodles,250,45061,88.22
6,Tier-1,kerry,Pasta,332,45293,61.97
8,Tier-1,akr express,Noodles,477,45238,9.15
27,Tier-1,SELF,Cookies,413,45194,89.57
9,Tier-2,courier,Bites,126,45165,6.64
37,Tier-1,VRL,Hakka,103,45450,119.17
33,Tier-1,kerry,Pasta,172,45221,49.43
42,Tier-1,kerry,Sevai,108,45060,10.84
44,Tier-3,DTDC,Sevai,122,45128,90.31
24,Tier-3,kerry,Bites,368,45477,62.66
15,Tier-2,vrl,Pasta,100,45172,146.2
32,Tier-2,courier,Noodles,355,45479,83.91
32,Tier-3,vrl,Noodles,215,45155,44.91
24,Tier-3,courier,Cookies,26,45404,107.87
41,Tier-3,SELF,Cookies,283,45377,44.37
