Category,Customer,Quantity,Delivery Lead Time,Segment
Sevai,Store_Zeta,190,39,At Risk
Noodles,Store_Gamma,465,29,Loyal
Cookies,Store_Delta,369,15,Loyal
Cookies,Store_Zeta,77,43,Potential
Hakka,Store_Epsilon,360,8,Champion
Bites,Store_Gamma,421,21,Loyal
Hakka,Store_Alpha,468,39,Loyal
Bites,Store_Beta,330,19,Loyal
Bites,Store_Beta,58,23,Potential
Noodles,Store_Alpha,184,11,Loyal
Others,Store_Eta,61,11,Champion
Noodles,Store_Zeta,111,24,Champion
Sevai,Store_Theta,225,36,Champion
Bites,Store_Beta,447,40,Loyal
Cookies,Store_Eta,197,24,Potential
Others,Store_Beta,66,3,Loyal
Pasta,Store_Alpha,56,22,Potential
Sevai,Store_Zeta,168,2,Lost
Noodles,Store_Zeta,498,24,Champion
Hakka,Store_Eta,183,44,Champion
Sevai,Store_Alpha,251,30,Champion
Sevai,Store_Eta,291,38,Champion
Others,Store_Zeta,250,2,Lost
Sevai,Store_Theta,379,21,Lost
Sevai,Store_Zeta,14,33,Champion
Pasta,Store_Gamma,93,12,Champion
Hakka,Store_Theta,317,22,Lost
Hakka,Store_Eta,370,44,At Risk
Hakka,Store_Gamma,468,25,Champion
Bites,Store_Alpha,257,27,Champion
Cookies,Store_Delta,63,42,Champion
Hakka,Store_Beta,170,28,At Risk
Sevai,Store_Gamma,443,16,Loyal
Sevai,Store_Beta,431,15,Champion
Hakka,Store_Epsilon,420,44,Champion
Others,Store_Alpha,235,3,Champion
Hakka,Store_Delta,24,37,Champion
Sevai,Store_Epsilon,233,7,At Risk
Bites,Store_Epsilon,70,21,Loyal
Noodles,Store_Zeta,131,9,Champion
Noodles,Store_Epsilon,286,39,Loyal
Hakka,Store_Alpha,55,18,Loyal
Pasta,Store_Gamma,462,4,Champion
Hakka,Store_Alpha,399,25,Champion
Others,Store_Gamma,303,14,Champion
Hakka,Store_Epsilon,71,9,Champion
Noodles,Store_Epsilon,95,26,Loyal
Sevai,Store_Theta,455,2,Champion
Hakka,Store_Delta,219,20,At Risk
Sevai,Store_Gamma,87,28,Lost
Sevai,Store_Epsilon,211,7,Champion
Pasta,Store_Zeta,311,44,Champion
Sevai,Store_Theta,406,8,Lost
Noodles,Store_Beta,232,35,Loyal
Bites,Store_Theta,231,14,Potential
Bites,Store_Delta,12,17,Lost
Cookies,Store_Alpha,487,36,Loyal
Others,Store_Delta,15,40,Loyal
Hakka,Store_Beta,102,4,At Risk
Others,Store_Theta,17,2,Champion
Noodles,Store_Gamma,437,6,Loyal
Sevai,Store_Alpha,244,42,Champion
Bites,Store_Alpha,117,4,Champion
Others,Store_Gamma,170,29,Potential
Noodles,Store_Eta,218,18,Potential
Bites,Store_Eta,249,26,At Risk
Sevai,Store_Delta,340,44,Champion
Others,Store_Epsilon,342,34,Champion
Bites,Store_Eta,59,10,Champion
Hakka,Store_Delta,20,36,Champion
Hakka,Store_Eta,360,14,Loyal
Cookies,Store_Beta,165,31,At Risk
Cookies,Store_Zeta,79,15,Lost
Bites,Store_Epsilon,178,8,Champion
Noodles,Store_Delta,281,14,Champion
Hakka,Store_Zeta,77,23,Loyal
Noodles,Store_Zeta,364,40,Champion
Noodles,Store_Theta,261,21,Potential
Bites,Store_Eta,57,16,Champion
Noodles,Store_Theta,193,18,At Risk
Hakka,Store_Gamma,329,24,Champion
Sevai,Store_Beta,196,26,Champion
Cookies,Store_Beta,99,25,Potential
Sevai,Store_Beta,455,41,Loyal
Noodles,Store_Epsilon,341,29,Champion
Sevai,Store_Alpha,148,15,Champion
Hakka,Store_Epsilon,366,1,Champion
Hakka,Store_Delta,98,25,Potential
Noodles,Store_Zeta,283,7,Champion
Bites,Store_Zeta,28,9,Potential
Sevai,Store_Theta,480,24,Champion
Bites,Store_Alpha,320,1,Champion
Bites,Store_Delta,367,44,Potential
Pasta,Store_Alpha,383,8,Loyal
Noodles,Store_Zeta,475,24,Loyal
Cookies,Store_Eta,163,11,Champion
Hakka,Store_Epsilon,399,17,Champion
Hakka,Store_Beta,269,8,Loyal
Noodles,Store_Zeta,117,35,Champion
Others,Store_Gamma,380,35,Champion
Others,Store_Beta,294,33,Champion
Others,Store_Zeta,68,5,At Risk
Cookies,Store_Epsilon,134,42,Champion
Hakka,Store_Alpha,363,39,Lost
Noodles,Store_Eta,282,41,Loyal
Hakka,Store_Eta,116,28,Champion
Bites,Store_Beta,308,7,Lost
Sevai,Store_Epsilon,254,9,Champion
Sevai,Store_Eta,345,8,Potential
Hakka,Store_Eta,459,12,Champion
Pasta,Store_Delta,427,34,Loyal
Cookies,Store_Gamma,256,33,Champion
Others,Store_Beta,17,23,Champion
Cookies,Store_Alpha,150,24,Lost
Cookies,Store_Eta,371,37,Loyal
Bites,Store_Delta,17,35,At Risk
Cookies,Store_Epsilon,487,44,At Risk
Sevai,Store_Eta,361,40,Loyal
Bites,Store_Theta,493,22,Champion
Noodles,Store_Gamma,103,27,Lost
Cookies,Store_Alpha,330,35,At Risk
Cookies,Store_Epsilon,436,1,Champion
Noodles,Store_Epsilon,48,35,Champion
Cookies,Store_Beta,90,37,Champion
Noodles,Store_Eta,196,14,Potential
Bites,Store_Beta,93,3,Champion
Sevai,Store_Alpha,97,1,Potential
Noodles,Store_Theta,251,5,Loyal
Pasta,Store_Eta,351,26,Loyal
Noodles,Store_Zeta,102,14,Champion
Cookies,Store_Eta,95,39,Champion
Others,Store_Theta,53,27,Champion
Others,Store_Zeta,146,9,Champion
Bites,Store_Epsilon,430,15,Champion
Hakka,Store_Beta,83,15,Loyal
Bites,Store_Gamma,45,26,Champion
Hakka,Store_Eta,110,42,At Risk
Others,Store_Gamma,485,13,Champion
Others,Store_Eta,165,32,Champion
Noodles,Store_Epsilon,435,39,Champion
Sevai,Store_Beta,264,32,At Risk
Pasta,Store_Alpha,180,4,Loyal
Bites,Store_Alpha,478,30,Potential
Cookies,Store_Alpha,225,37,Potential
Hakka,Store_Eta,179,23,Champion
Cookies,Store_Eta,261,39,Loyal
Sevai,Store_Gamma,369,15,Potential
