Order Date,Customer,Quantity,Delivery Lead Time,Segment
16-07-2025,Store_Zeta,190,39,At Risk
30-09-2025,Store_Gamma,465,29,Loyal
21-09-2025,Store_Delta,369,15,Loyal
26-02-2025,Store_Zeta,77,43,Potential
25-10-2025,Store_Epsilon,360,8,Champion
08-04-2025,Store_Gamma,421,21,Loyal
17-05-2025,Store_Alpha,468,39,Loyal
28-03-2025,Store_Beta,330,19,Loyal
30-08-2025,Store_Beta,58,23,Potential
18-07-2025,Store_Alpha,184,11,Loyal
06-11-2025,Store_Eta,61,11,Champion
25-03-2025,Store_Zeta,111,24,Champion
30-08-2025,Store_Theta,225,36,Champion
08-10-2025,Store_Beta,447,40,Loyal
19-11-2025,Store_Eta,197,24,Potential
09-09-2025,Store_Beta,66,3,Loyal
09-07-2025,Store_Alpha,56,22,Potential
01-06-2025,Store_Zeta,168,2,Lost
29-10-2025,Store_Zeta,498,24,Champion
05-10-2025,Store_Eta,183,44,Champion
19-05-2025,Store_Alpha,251,30,Champion
25-06-2025,Store_Eta,291,38,Champion
08-01-2025,Store_Zeta,250,2,Lost
22-10-2025,Store_Theta,379,21,Lost
23-08-2025,Store_Zeta,14,33,Champion
12-06-2025,Store_Gamma,93,12,Champion
18-02-2025,Store_Theta,317,22,Lost
29-10-2025,Store_Eta,370,44,At Risk
07-02-2025,Store_Gamma,468,25,Champion
16-05-2025,Store_Alpha,257,27,Champion
06-11-2025,Store_Delta,63,42,Champion
07-08-2025,Store_Beta,170,28,At Risk
14-12-2025,Store_Gamma,443,16,Loyal
23-10-2025,Store_Beta,431,15,Champion
03-02-2025,Store_Epsilon,420,44,Champion
18-12-2025,Store_Alpha,235,3,Champion
20-03-2025,Store_Delta,24,37,Champion
24-08-2025,Store_Epsilon,233,7,At Risk
30-09-2025,Store_Epsilon,70,21,Loyal
10-06-2025,Store_Zeta,131,9,Champion
24-06-2025,Store_Epsilon,286,39,Loyal
04-11-2025,Store_Alpha,55,18,Loyal
09-08-2025,Store_Gamma,462,4,Champion
09-01-2025,Store_Alpha,399,25,Champion
16-10-2025,Store_Gamma,303,14,Champion
23-04-2025,Store_Epsilon,71,9,Champion
24-07-2025,Store_Epsilon,95,26,Loyal
05-07-2025,Store_Theta,455,2,Champion
07-12-2025,Store_Delta,219,20,At Risk
16-07-2025,Store_Gamma,87,28,Lost
23-09-2025,Store_Epsilon,211,7,Champion
19-09-2025,Store_Zeta,311,44,Champion
05-09-2025,Store_Theta,406,8,Lost
25-04-2025,Store_Beta,232,35,Loyal
01-05-2025,Store_Theta,231,14,Potential
21-05-2025,Store_Delta,12,17,Lost
06-03-2025,Store_Alpha,487,36,Loyal
03-10-2025,Store_Delta,15,40,Loyal
09-11-2025,Store_Beta,102,4,At Risk
27-08-2025,Store_Theta,17,2,Champion
29-10-2025,Store_Gamma,437,6,Loyal
10-01-2025,Store_Alpha,244,42,Champion
21-08-2025,Store_Alpha,117,4,Champion
14-07-2025,Store_Gamma,170,29,Potential
12-01-2025,Store_Eta,218,18,Potential
26-06-2025,Store_Eta,249,26,At Risk
26-06-2025,Store_Delta,340,44,Champion
05-08-2025,Store_Epsilon,342,34,Champion
11-01-2025,Store_Eta,59,10,Champion
28-04-2025,Store_Delta,20,36,Champion
13-06-2025,Store_Eta,360,14,Loyal
08-02-2025,Store_Beta,165,31,At Risk
22-02-2025,Store_Zeta,79,15,Lost
06-08-2025,Store_Epsilon,178,8,Champion
25-07-2025,Store_Delta,281,14,Champion
08-11-2025,Store_Zeta,77,23,Loyal
26-12-2025,Store_Zeta,364,40,Champion
25-02-2025,Store_Theta,261,21,Potential
28-04-2025,Store_Eta,57,16,Champion
10-09-2025,Store_Theta,193,18,At Risk
13-10-2025,Store_Gamma,329,24,Champion
25-09-2025,Store_Beta,196,26,Champion
18-10-2025,Store_Beta,99,25,Potential
29-11-2025,Store_Beta,455,41,Loyal
29-06-2025,Store_Epsilon,341,29,Champion
24-12-2025,Store_Alpha,148,15,Champion
23-08-2025,Store_Epsilon,366,1,Champion
09-12-2025,Store_Delta,98,25,Potential
15-07-2025,Store_Zeta,283,7,Champion
04-11-2025,Store_Zeta,28,9,Potential
21-03-2025,Store_Theta,480,24,Champion
15-05-2025,Store_Alpha,320,1,Champion
22-01-2025,Store_Delta,367,44,Potential
27-11-2025,Store_Alpha,383,8,Loyal
13-08-2025,Store_Zeta,475,24,Loyal
27-02-2025,Store_Eta,163,11,Champion
03-04-2025,Store_Epsilon,399,17,Champion
11-07-2025,Store_Beta,269,8,Loyal
13-04-2025,Store_Zeta,117,35,Champion
07-01-2025,Store_Gamma,380,35,Champion
08-05-2025,Store_Beta,294,33,Champion
24-02-2025,Store_Zeta,68,5,At Risk
19-08-2025,Store_Epsilon,134,42,Champion
28-12-2025,Store_Alpha,363,39,Lost
03-03-2025,Store_Eta,282,41,Loyal
28-08-2025,Store_Eta,116,28,Champion
31-03-2025,Store_Beta,308,7,Lost
20-08-2025,Store_Epsilon,254,9,Champion
21-08-2025,Store_Eta,345,8,Potential
20-12-2025,Store_Eta,459,12,Champion
29-11-2025,Store_Delta,427,34,Loyal
19-10-2025,Store_Gamma,256,33,Champion
11-12-2025,Store_Beta,17,23,Champion
01-06-2025,Store_Alpha,150,24,Lost
25-05-2025,Store_Eta,371,37,Loyal
10-05-2025,Store_Delta,17,35,At Risk
21-05-2025,Store_Epsilon,487,44,At Risk
03-04-2025,Store_Eta,361,40,Loyal
24-04-2025,Store_Theta,493,22,Champion
11-10-2025,Store_Gamma,103,27,Lost
23-05-2025,Store_Alpha,330,35,At Risk
11-08-2025,Store_Epsilon,436,1,Champion
20-08-2025,Store_Epsilon,48,35,Champion
02-02-2025,Store_Beta,90,37,Champion
03-10-2025,Store_Eta,196,14,Potential
19-06-2025,Store_Beta,93,3,Champion
20-05-2025,Store_Alpha,97,1,Potential
23-12-2025,Store_Theta,251,5,Loyal
20-07-2025,Store_Eta,351,26,Loyal
23-01-2025,Store_Zeta,102,14,Champion
12-08-2025,Store_Eta,95,39,Champion
27-09-2025,Store_Theta,53,27,Champion
13-12-2025,Store_Zeta,146,9,Champion
02-06-2025,Store_Epsilon,430,15,Champion
29-11-2025,Store_Beta,83,15,Loyal
26-03-2025,Store_Gamma,45,26,Champion
19-04-2025,Store_Eta,110,42,At Risk
31-01-2025,Store_Gamma,485,13,Champion
17-08-2025,Store_Eta,165,32,Champion
28-08-2025,Store_Epsilon,435,39,Champion
29-12-2025,Store_Beta,264,32,At Risk
06-11-2025,Store_Alpha,180,4,Loyal
21-05-2025,Store_Alpha,478,30,Potential
05-06-2025,Store_Alpha,225,37,Potential
26-10-2025,Store_Eta,179,23,Champion
11-12-2025,Store_Eta,261,39,Loyal
09-04-2025,Store_Gamma,369,15,Potential
16-02-2025,Store_Beta,331,43,Loyal
23-11-2025,Store_Theta,64,29,Champion
08-03-2025,Store_Eta,465,36,Potential
03-03-2025,Store_Beta,441,13,Loyal
19-04-2025,Store_Gamma,100,32,Lost
16-06-2025,Store_Eta,287,7,Loyal
06-02-2025,Store_Alpha,110,22,Lost
29-04-2025,Store_Alpha,164,28,Champion
27-03-2025,Store_Epsilon,386,2,Loyal
21-02-2025,Store_Zeta,358,42,Loyal
01-04-2025,Store_Delta,460,6,At Risk
16-10-2025,Store_Theta,373,28,Loyal
03-12-2025,Store_Zeta,150,28,Loyal
25-10-2025,Store_Eta,182,44,Champion
23-07-2025,Store_Beta,19,44,Champion
26-08-2025,Store_Eta,237,20,Champion
04-06-2025,Store_Beta,274,30,Loyal
