Category,Quantity,Delivery Lead Time,Segment
Sevai,190,39,At Risk
Noodles,465,29,Loyal
Cookies,369,15,Loyal
Cookies,77,43,Potential
Hakka,360,8,Champion
Bites,421,21,Loyal
Hakka,468,39,Loyal
Bites,330,19,Loyal
Bites,58,23,Potential
Noodles,184,11,Loyal
Others,61,11,Champion
Noodles,111,24,Champion
Sevai,225,36,Champion
Bites,447,40,Loyal
Cookies,197,24,Potential
Others,66,3,Loyal
Pasta,56,22,Potential
Sevai,168,2,Lost
Noodles,498,24,Champion
Hakka,183,44,Champion
Sevai,251,30,Champion
Sevai,291,38,Champion
Others,250,2,Lost
Sevai,379,21,Lost
Sevai,14,33,Champion
Pasta,93,12,Champion
Hakka,317,22,Lost
Hakka,370,44,At Risk
Hakka,468,25,Champion
Bites,257,27,Champion
Cookies,63,42,Champion
Hakka,170,28,At Risk
Sevai,443,16,Loyal
Sevai,431,15,Champion
Hakka,420,44,Champion
Others,235,3,Champion
Hakka,24,37,Champion
Sevai,233,7,At Risk
Bites,70,21,Loyal
Noodles,131,9,Champion
Noodles,286,39,Loyal
Hakka,55,18,Loyal
Pasta,462,4,Champion
Hakka,399,25,Champion
Others,303,14,Champion
Hakka,71,9,Champion
Noodles,95,26,Loyal
Sevai,455,2,Champion
Hakka,219,20,At Risk
Sevai,87,28,Lost
Sevai,211,7,Champion
Pasta,311,44,Champion
Sevai,406,8,Lost
Noodles,232,35,Loyal
Bites,231,14,Potential
Bites,12,17,Lost
Cookies,487,36,Loyal
Others,15,40,Loyal
Hakka,102,4,At Risk
Others,17,2,Champion
Noodles,437,6,Loyal
Sevai,244,42,Champion
Bites,117,4,Champion
Others,170,29,Potential
Noodles,218,18,Potential
Bites,249,26,At Risk
Sevai,340,44,Champion
Others,342,34,Champion
Bites,59,10,Champion
Hakka,20,36,Champion
Hakka,360,14,Loyal
Cookies,165,31,At Risk
Cookies,79,15,Lost
Bites,178,8,Champion
Noodles,281,14,Champion
Hakka,77,23,Loyal
Noodles,364,40,Champion
Noodles,261,21,Potential
Bites,57,16,Champion
Noodles,193,18,At Risk
Hakka,329,24,Champion
Sevai,196,26,Champion
Cookies,99,25,Potential
Sevai,455,41,Loyal
Noodles,341,29,Champion
Sevai,148,15,Champion
Hakka,366,1,Champion
Hakka,98,25,Potential
Noodles,283,7,Champion
Bites,28,9,Potential
Sevai,480,24,Champion
Bites,320,1,Champion
Bites,367,44,Potential
Pasta,383,8,Loyal
Noodles,475,24,Loyal
Cookies,163,11,Champion
Hakka,399,17,Champion
Hakka,269,8,Loyal
Noodles,117,35,Champion
Others,380,35,Champion
Others,294,33,Champion
Others,68,5,At Risk
Cookies,134,42,Champion
Hakka,363,39,Lost
Noodles,282,41,Loyal
Hakka,116,28,Champion
Bites,308,7,Lost
Sevai,254,9,Champion
Sevai,345,8,Potential
Hakka,459,12,Champion
Pasta,427,34,Loyal
Cookies,256,33,Champion
Others,17,23,Champion
Cookies,150,24,Lost
Cookies,371,37,Loyal
Bites,17,35,At Risk
Cookies,487,44,At Risk
Sevai,361,40,Loyal
Bites,493,22,Champion
Noodles,103,27,Lost
Cookies,330,35,At Risk
Cookies,436,1,Champion
Noodles,48,35,Champion
Cookies,90,37,Champion
Noodles,196,14,Potential
Bites,93,3,Champion
Sevai,97,1,Potential
Noodles,251,5,Loyal
Pasta,351,26,Loyal
Noodles,102,14,Champion
Cookies,95,39,Champion
Others,53,27,Champion
Others,146,9,Champion
Bites,430,15,Champion
Hakka,83,15,Loyal
Bites,45,26,Champion
Hakka,110,42,At Risk
Others,485,13,Champion
Others,165,32,Champion
Noodles,435,39,Champion
Sevai,264,32,At Risk
Pasta,180,4,Loyal
Bites,478,30,Potential
Cookies,225,37,Potential
Hakka,179,23,Champion
Cookies,261,39,Loyal
