Category,Quantity,Delivery Lead Time,Segment,Carrier
Sevai,190,39,At Risk,DTDC
Noodles,465,29,Loyal,akr express
Cookies,369,15,Loyal,akr express
Cookies,77,43,Potential,SELF
Hakka,360,8,Champion,SELF
Bites,421,21,Loyal,kerry
Hakka,468,39,Loyal,dtdc
Bites,330,19,Loyal,self
Bites,58,23,Potential,self
Noodles,184,11,Loyal,vrl
Others,61,11,Champion,DTDC
Noodles,111,24,Champion,dtdc
Sevai,225,36,Champion,courier
Bites,447,40,Loyal,akr express
Cookies,197,24,Potential,VRL
Others,66,3,Loyal,safe express
Pasta,56,22,Potential,kerry
Sevai,168,2,Lost,DTDC
Noodles,498,24,Champion,DTDC
Hakka,183,44,Champion,DTDC
Sevai,251,30,Champion,akr express
Sevai,291,38,Champion,akr express
Others,250,2,Lost,safe express
Sevai,379,21,Lost,courier
Sevai,14,33,Champion,dtdc
Pasta,93,12,Champion,DTDC
Hakka,317,22,Lost,self
Hakka,370,44,At Risk,SELF
Hakka,468,25,Champion,self
Bites,257,27,Champion,vrl
Cookies,63,42,Champion,self
Hakka,170,28,At Risk,vrl
Sevai,443,16,Loyal,VRL
Sevai,431,15,Champion,SELF
Hakka,420,44,Champion,self
Others,235,3,Champion,VRL
Hakka,24,37,Champion,kerry
Sevai,233,7,At Risk,dtdc
Bites,70,21,Loyal,VRL
Noodles,131,9,Champion,dtdc
Noodles,286,39,Loyal,self
Hakka,55,18,Loyal,courier
Pasta,462,4,Champion,VRL
Hakka,399,25,Champion,SELF
Others,303,14,Champion,self
Hakka,71,9,Champion,DTDC
Noodles,95,26,Loyal,akr express
Sevai,455,2,Champion,VRL
Hakka,219,20,At Risk,SELF
Sevai,87,28,Lost,kerry
Sevai,211,7,Champion,DTDC
Pasta,311,44,Champion,kerry
Sevai,406,8,Lost,self
Noodles,232,35,Loyal,akr express
Bites,231,14,Potential,VRL
Bites,12,17,Lost,VRL
Cookies,487,36,Loyal,courier
Others,15,40,Loyal,courier
Hakka,102,4,At Risk,self
Others,17,2,Champion,self
Noodles,437,6,Loyal,akr express
Sevai,244,42,Champion,courier
Bites,117,4,Champion,SELF
Others,170,29,Potential,SELF
Noodles,218,18,Potential,akr express
Bites,249,26,At Risk,SELF
Sevai,340,44,Champion,vrl
Others,342,34,Champion,dtdc
Bites,59,10,Champion,akr express
Hakka,20,36,Champion,akr express
Hakka,360,14,Loyal,safe express
Cookies,165,31,At Risk,DTDC
Cookies,79,15,Lost,DTDC
Bites,178,8,Champion,vrl
Noodles,281,14,Champion,courier
Hakka,77,23,Loyal,self
Noodles,364,40,Champion,self
Noodles,261,21,Potential,kerry
Bites,57,16,Champion,vrl
Noodles,193,18,At Risk,akr express
Hakka,329,24,Champion,vrl
Sevai,196,26,Champion,vrl
Cookies,99,25,Potential,vrl
Sevai,455,41,Loyal,DTDC
Noodles,341,29,Champion,vrl
Sevai,148,15,Champion,dtdc
Hakka,366,1,Champion,self
Hakka,98,25,Potential,kerry
Noodles,283,7,Champion,dtdc
Bites,28,9,Potential,kerry
Sevai,480,24,Champion,safe express
Bites,320,1,Champion,kerry
Bites,367,44,Potential,self
Pasta,383,8,Loyal,self
Noodles,475,24,Loyal,vrl
Cookies,163,11,Champion,VRL
Hakka,399,17,Champion,safe express
Hakka,269,8,Loyal,akr express
Noodles,117,35,Champion,SELF
Others,380,35,Champion,kerry
Others,294,33,Champion,VRL
Others,68,5,At Risk,vrl
Cookies,134,42,Champion,DTDC
Hakka,363,39,Lost,akr express
Noodles,282,41,Loyal,courier
Hakka,116,28,Champion,VRL
Bites,308,7,Lost,DTDC
Sevai,254,9,Champion,safe express
Sevai,345,8,Potential,vrl
Hakka,459,12,Champion,akr express
Pasta,427,34,Loyal,akr express
Cookies,256,33,Champion,akr express
Others,17,23,Champion,safe express
Cookies,150,24,Lost,kerry
Cookies,371,37,Loyal,courier
Bites,17,35,At Risk,safe express
Cookies,487,44,At Risk,SELF
Sevai,361,40,Loyal,courier
Bites,493,22,Champion,self
Noodles,103,27,Lost,vrl
Cookies,330,35,At Risk,safe express
Cookies,436,1,Champion,DTDC
Noodles,48,35,Champion,courier
Cookies,90,37,Champion,SELF
Noodles,196,14,Potential,self
Bites,93,3,Champion,kerry
Sevai,97,1,Potential,DTDC
Noodles,251,5,Loyal,courier
Pasta,351,26,Loyal,vrl
Noodles,102,14,Champion,DTDC
Cookies,95,39,Champion,self
Others,53,27,Champion,DTDC
Others,146,9,Champion,dtdc
Bites,430,15,Champion,VRL
Hakka,83,15,Loyal,kerry
Bites,45,26,Champion,self
Hakka,110,42,At Risk,DTDC
Others,485,13,Champion,VRL
Others,165,32,Champion,VRL
Noodles,435,39,Champion,DTDC
Sevai,264,32,At Risk,vrl
Pasta,180,4,Loyal,dtdc
Bites,478,30,Potential,safe express
Cookies,225,37,Potential,dtdc
Hakka,179,23,Champion,DTDC
Cookies,261,39,Loyal,kerry
Sevai,369,15,Potential,safe express
Hakka,331,43,Loyal,self
Bites,64,29,Champion,dtdc
Noodles,465,36,Potential,DTDC
Cookies,441,13,Loyal,dtdc
Sevai,100,32,Lost,safe express
Bites,287,7,Loyal,SELF
Others,110,22,Lost,courier
Others,164,28,Champion,dtdc
Bites,386,2,Loyal,self
Bites,358,42,Loyal,self
Bites,460,6,At Risk,akr express
Hakka,373,28,Loyal,dtdc
Bites,150,28,Loyal,courier
Cookies,182,44,Champion,vrl
Sevai,19,44,Champion,VRL
Hakka,237,20,Champion,courier
Bites,274,30,Loyal,VRL
Pasta,447,11,Champion,VRL
Pasta,257,28,Loyal,SELF
Sevai,256,25,Loyal,akr express
Others,164,39,Champion,courier
Noodles,43,33,Potential,courier
Noodles,138,1,Loyal,SELF
Others,169,27,Champion,dtdc
Hakka,98,13,Champion,dtdc
Hakka,102,41,At Risk,dtdc
Hakka,336,3,At Risk,kerry
Noodles,250,39,Potential,VRL
Pasta,332,6,Loyal,kerry
Noodles,477,8,Loyal,akr express
Cookies,413,27,Champion,SELF
Bites,126,9,Champion,courier
Hakka,103,37,Champion,VRL
Pasta,172,33,Potential,kerry
Sevai,108,42,Lost,kerry
Sevai,122,44,Lost,DTDC
Bites,368,24,Champion,kerry
Pasta,100,15,Potential,vrl
Noodles,355,32,Champion,courier
Noodles,215,32,Loyal,vrl
Cookies,26,24,Potential,courier
Cookies,283,41,Loyal,SELF
Noodles,182,12,Champion,courier
Sevai,125,39,Champion,vrl
Hakka,358,2,Potential,courier
Sevai,477,3,Potential,SELF
Cookies,190,37,Champion,SELF
Bites,100,17,Potential,akr express
Noodles,91,2,Champion,courier
Cookies,333,2,Champion,DTDC
Cookies,458,28,Potential,dtdc
Hakka,123,23,Potential,self
Noodles,266,37,At Risk,SELF
Hakka,67,32,Loyal,safe express
Noodles,163,33,Potential,dtdc
